method,ari_mean,ari_std,nmi_mean,nmi_std,status,uncertainty_scope
CluStream,0.430000,0.023000,0.410000,0.022000,Classical baseline,ari_std/nmi_std are descriptive means of dataset-level SDs retained for compatibility; they are NOT pooled uncertainty and are not used for inference.
DenStream,0.470000,0.021000,0.440000,0.020000,Classical baseline,ari_std/nmi_std are descriptive means of dataset-level SDs retained for compatibility; they are NOT pooled uncertainty and are not used for inference.
StreamKM++,0.510000,0.019000,0.480000,0.018000,Classical baseline,ari_std/nmi_std are descriptive means of dataset-level SDs retained for compatibility; they are NOT pooled uncertainty and are not used for inference.
Fixed Rank,0.490000,0.023853,0.460000,0.022583,Matched internal baseline,ari_std/nmi_std are descriptive means of dataset-level SDs retained for compatibility; they are NOT pooled uncertainty and are not used for inference.
Proposed,0.540000,0.024733,0.510000,0.022134,Primary descriptive macro result,ari_std/nmi_std are descriptive means of dataset-level SDs retained for compatibility; they are NOT pooled uncertainty and are not used for inference.
