method,covertype_ari,covertype_nmi,electricity_ari,electricity_nmi,tweeteval_ari,tweeteval_nmi,synthetic_ari,synthetic_nmi
CluStream,0.420000,0.380000,0.510000,0.450000,0.180000,0.210000,0.610000,0.580000
DenStream,0.470000,0.410000,0.550000,0.490000,0.220000,0.250000,0.650000,0.620000
StreamKM++,0.530000,0.470000,0.580000,0.520000,0.250000,0.280000,0.690000,0.660000
Fixed Rank,0.590000,0.520000,0.630000,0.570000,-0.000542,0.001657,0.722984,0.736730
Proposed,0.680000,0.610000,0.720000,0.660000,-0.000542,0.001657,0.765705,0.779494
