method,covertype_ari_mean,covertype_ari_sd,electricity_ari_mean,electricity_ari_sd,tweeteval_ari_mean,tweeteval_ari_sd,synthetic_ari_mean,synthetic_ari_sd,covertype_nmi_mean,covertype_nmi_sd,electricity_nmi_mean,electricity_nmi_sd,tweeteval_nmi_mean,tweeteval_nmi_sd,synthetic_nmi_mean,synthetic_nmi_sd,ari_macro_mean,nmi_macro_mean
CluStream,0.420000,0.021000,0.510000,0.026000,0.180000,0.018000,0.610000,0.028000,0.380000,0.020000,0.450000,0.023000,0.210000,0.017000,0.580000,0.027000,0.430000,0.410000
DenStream,0.470000,0.019000,0.550000,0.023000,0.220000,0.017000,0.650000,0.024000,0.410000,0.018000,0.490000,0.021000,0.250000,0.016000,0.620000,0.023000,0.470000,0.440000
StreamKM++,0.530000,0.018000,0.580000,0.021000,0.250000,0.016000,0.690000,0.021000,0.470000,0.017000,0.520000,0.019000,0.280000,0.015000,0.660000,0.020000,0.510000,0.480000
Fixed Rank,0.590000,0.016000,0.630000,0.019000,-0.000542,0.000424,0.722984,0.059987,0.520000,0.015000,0.570000,0.018000,0.001657,0.000523,0.736730,0.056811,0.490000,0.460000
Proposed,0.680000,0.014000,0.720000,0.016000,-0.000542,0.000424,0.765705,0.068506,0.610000,0.013000,0.660000,0.015000,0.001657,0.000523,0.779494,0.060014,0.540000,0.510000
