dataset,method,n_observations,n_windows,ari_observation_weighted,nmi_observation_weighted,ari_window_mean,nmi_window_mean,ari_window_sd,nmi_window_sd,ari_min_window,ari_max_window,nmi_min_window,nmi_max_window,coverage,runtime_s
covertype,TWStream,581012,582,0.13282460848191796,0.2499405064700427,0.13429672065858442,0.2512138033422207,0.12484401401566508,0.1457933953049548,-0.03908198478054257,1.0,0.011641098045675917,1.0,1.0,20.829751758001294
covertype,FRA-ART,581012,582,0.13603240425614693,0.2076657310867011,0.13749907089634442,0.20901079338513126,0.16129638223414133,0.17244012080033524,-0.09993773233611475,1.0,0.0,1.0,1.0,4.41233142999954
electricity,TWStream,45312,46,0.021445071747596852,0.02587228090685397,0.02211432347186471,0.026348186807251966,0.035478534131804,0.03868647427056611,-0.012306709744473726,0.12587188690657375,0.00015613412727117374,0.18638861014710506,1.0,1.35831440399852
electricity,FRA-ART,45312,46,0.006123218933338752,0.007395858739726984,0.006031636876248815,0.007285242417706721,0.013329372368063424,0.014243678092687638,-0.018260493787878425,0.049032770019330756,0.0,0.07477062718865309,1.0,2.246783743001288
tweeteval,TWStream,59899,30,4.591722046794321e-05,0.004061576450389059,4.316079585527337e-05,0.004088616321277662,0.004101630253599342,0.004258895786030558,-0.0071519810060232305,0.007792333845495736,0.0003246186233939936,0.020124866087182332,1.0,4.02449750499909
tweeteval,FRA-ART,59899,30,0.005115302902895386,0.0058405361933924075,0.005140650657223263,0.005856962750573776,0.008405989820955079,0.0074378075990035285,-0.0013300064143108121,0.026852802115476682,0.0005372429758789611,0.02498367582996944,1.0,7.862085980001211
synthetic_gmm,TWStream,9000,9,0.9419833656399056,0.9477999130159268,0.9419833656399054,0.9477999130159268,0.11501301421556538,0.10227591667554613,0.7158435315065369,1.0,0.7633830979499137,1.0,1.0,0.9120583809999516
synthetic_gmm,FRA-ART,9000,9,0.625219276989073,0.7097625908569346,0.625219276989073,0.7097625908569346,0.327401028801327,0.27287586649492157,0.18102826472489586,1.0,0.2838781631948598,1.0,1.0,9.808463465999012
