metric,proposed_mean,proposed_sd,other_mean,other_sd,mean_paired_difference,diff_95ci_low,diff_95ci_high,proposed_wins,ties,losses,wilcoxon_W,p_raw,cohen_dz,rank_biserial,p_holm_2metrics
ARI,0.8522541218358676,0.06418332620309214,0.8180352945127582,0.05814201775627682,0.034218827323109414,0.01112665073808947,0.05731100390812936,8,0,2,3.0,0.009765625,1.06004188689963,0.6,0.009765625
NMI,0.8489760465985032,0.05878070606681596,0.8140557707422434,0.05344295708107732,0.03492027585625973,0.01617444143140349,0.05366611028111597,10,0,0,0.0,0.001953125,1.3325872791798992,1.0,0.00390625
