comparison,metric,proposed_mean,other_mean,mean_paired_difference,diff_95ci_low,diff_95ci_high,wins,ties,losses,wilcoxon_W,p_raw,cohen_dz,rank_biserial,p_holm_6tests
Proposed vs Fixed Rank,ARI,0.8522541218358676,0.8180352945127582,0.034218827323109414,0.01112665073808947,0.05731100390812936,8,0,2,3.0,0.009765625,1.06004188689963,0.6,0.048828125
Proposed vs Fixed Rank,NMI,0.8489760465985032,0.8140557707422434,0.03492027585625973,0.01617444143140349,0.05366611028111597,10,0,0,0.0,0.001953125,1.3325872791798992,1.0,0.01171875
Proposed vs TWStream,ARI,0.8522541218358676,0.8361174468018376,0.016136675034030056,-0.02946126702769986,0.061734617095759975,7,0,3,18.0,0.375,0.2531579585186189,0.4,0.75
Proposed vs TWStream,NMI,0.8489760465985032,0.8614754536523268,-0.012499407053823519,-0.05379125763037689,0.028792443522729853,5,0,5,24.0,0.76953125,-0.2165448395177604,0.0,0.76953125
Proposed vs FRA-ART,ARI,0.8522541218358676,0.7187382152549231,0.1335159065809445,0.047018635830568686,0.2200131773313203,8,0,2,3.0,0.009765625,1.1042143295509446,0.6,0.048828125
Proposed vs FRA-ART,NMI,0.8489760465985032,0.787626604781772,0.06134944181673121,-0.009938360735184205,0.13263724436864663,8,0,2,12.0,0.130859375,0.6156277134378435,0.6,0.392578125
