method,normal_runtime_median_ms_per_1000,normal_throughput_median_obs_per_s,normal_online_median_ms_per_1000,normal_macro_median_ms_per_1000,common_preprocessing_median_ms_per_1000,persistent_numeric_mb_median,python_tracemalloc_peak_mb_max,incremental_peak_rss_mb_max
Proposed,108.35574355532017,9228.860115656516,86.80099016656743,23.190595666518576,16.231653555425712,0.379913330078125,2.784656524658203,5.546875
Fixed Rank,110.63483427773866,9038.744501479445,89.85363205551442,26.486201777717927,16.231653555425712,0.37890625,2.5832414627075195,0.015625
