method,seed,projection_seed,ari,nmi,online_ms_per_1000,macro_ms_per_1000,combined_ms_per_1000,throughput_obs_per_s,persistent_numeric_mb,python_tracemalloc_peak_mb,incremental_peak_rss_mb
proposed,7,7,0.9261553481794028,0.9103698413521706,449.732508888701,37.477747888866965,487.210256777568,2052.50194569804,0.379913330078125,2.784656524658203,5.546875
proposed,31,31,0.8525668776392292,0.8418332894642071,442.54606100003,26.68227477806795,469.2283357780979,2131.1585932715466,0.379913330078125,2.591616630554199,0.08984375
proposed,53,53,0.8625972201613783,0.8565297276958224,430.0314475553427,27.63642844446521,457.6678759998079,2184.990584745388,0.38016510009765625,2.5922107696533203,0.0
fixed_rank,7,7,0.8811522963306457,0.8624191024591414,418.8047899998411,32.241897111008356,451.04668711084946,2217.0653916237266,0.37890625,2.5830774307250977,0.015625
fixed_rank,31,31,0.8144782840759949,0.8100895730434761,418.5548678890175,25.983528111383848,444.53839600040135,2249.524470770568,0.37890625,2.5832414627075195,0.00390625
fixed_rank,53,53,0.7709995000955262,0.7671160746543901,426.4686518892833,28.244460110929342,454.7131120002127,2199.1888371134814,0.37890625,2.5829896926879883,0.00390625
