axis,value,n,ari_mean,ari_sd,nmi_mean,nmi_sd,runtime_ms_per_1000_mean,persistent_numeric_mb_mean,rank_mean,rank_max_observed
original_dim,64,1,0.7278902839423491,0.0,0.7212885833929641,0.0,128.52405233358394,0.333038330078125,10.637555555555556,15
original_dim,128,1,0.6660815092063622,0.0,0.6704100719729362,0.0,121.3185268888992,0.3484115600585937,11.008444444444445,15
original_dim,256,1,0.9261553481794028,0.0,0.9103698413521706,0.0,208.25160666704,0.379913330078125,11.09811111111111,15
projection_dim,16,1,0.7347209055139314,0.0,0.7268955445325704,0.0,120.41852655551745,0.2004547119140625,9.335111111111113,12
projection_dim,32,1,0.9261553481794028,0.0,0.9103698413521706,0.0,126.72862922206858,0.379913330078125,11.09811111111111,15
projection_dim,48,1,0.978427341853013,0.0,0.9673006644430566,0.0,142.98719577770194,0.5594863891601562,12.348333333333333,19
window_size,500,1,0.9268421289539608,0.0,0.9116134832055216,0.0,108.68754411118668,0.250213623046875,10.639555555555557,16
window_size,1000,1,0.9261553481794028,0.0,0.9103698413521706,0.0,121.95648677788996,0.379913330078125,11.09811111111111,15
window_size,1500,1,0.9274756805371264,0.0,0.911643698138256,0.0,238.83536788909825,0.5098648071289062,11.851888888888888,17
max_rank,8,1,0.840138570970438,0.0,0.8255143991303726,0.0,208.3753304443437,0.37890625,7.384333333333333,8
max_rank,16,1,0.9253195588924756,0.0,0.9098406529368188,0.0,215.0783326667604,0.379913330078125,9.958555555555556,13
max_rank,32,1,0.9261553481794028,0.0,0.9103698413521706,0.0,126.84718477774166,0.379913330078125,11.09811111111111,15
max_microclusters,100,1,0.8539338265347676,0.0,0.8483122030563786,0.0,118.00490999990468,0.352447509765625,11.09811111111111,15
max_microclusters,200,1,0.9261553481794028,0.0,0.9103698413521706,0.0,144.3819172222397,0.379913330078125,11.09811111111111,15
max_microclusters,300,1,0.9258039765166376,0.0,0.9139813177398516,0.0,149.25416622211034,0.407379150390625,11.09811111111111,15
