axis,value,seed,ari,nmi,runtime_ms_per_1000,persistent_numeric_mb,rank_mean,rank_max_observed
original_dim,64,7,0.7278902839423491,0.7212885833929641,128.52405233358394,0.333038330078125,10.637555555555556,15
original_dim,128,7,0.6660815092063622,0.6704100719729362,121.31852688889921,0.34841156005859375,11.008444444444445,15
original_dim,256,7,0.9261553481794028,0.9103698413521706,208.25160666704,0.379913330078125,11.09811111111111,15
projection_dim,16,7,0.7347209055139314,0.7268955445325704,120.41852655551743,0.2004547119140625,9.335111111111111,12
projection_dim,32,7,0.9261553481794028,0.9103698413521706,126.72862922206858,0.379913330078125,11.09811111111111,15
projection_dim,48,7,0.978427341853013,0.9673006644430566,142.98719577770194,0.5594863891601562,12.348333333333333,19
window_size,500,7,0.9268421289539608,0.9116134832055216,108.68754411118668,0.250213623046875,10.639555555555555,16
window_size,1000,7,0.9261553481794028,0.9103698413521706,121.95648677788995,0.379913330078125,11.09811111111111,15
window_size,1500,7,0.9274756805371265,0.9116436981382561,238.83536788909825,0.5098648071289062,11.851888888888888,17
max_rank,8,7,0.840138570970438,0.8255143991303726,208.3753304443437,0.37890625,7.384333333333333,8
max_rank,16,7,0.9253195588924756,0.9098406529368189,215.07833266676042,0.379913330078125,9.958555555555556,13
max_rank,32,7,0.9261553481794028,0.9103698413521706,126.84718477774166,0.379913330078125,11.09811111111111,15
max_microclusters,100,7,0.8539338265347676,0.8483122030563786,118.00490999990467,0.352447509765625,11.09811111111111,15
max_microclusters,200,7,0.9261553481794028,0.9103698413521706,144.3819172222397,0.379913330078125,11.09811111111111,15
max_microclusters,300,7,0.9258039765166377,0.9139813177398515,149.25416622211034,0.407379150390625,11.09811111111111,15
