dataset,seed,elapsed_seconds,mean_rank,rank_sd_within_run,maximum_rank_observed,sampling_acceptance,evidence_scope
covertype,7,6.076926978999836,4.928800094442477,1.6180731272239617,8,0.4700281577661047,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,13,6.359604381000281,5.22393283473261,1.79799683965794,9,0.4737199920139343,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,19,4.931184204000147,5.02428421630105,1.5227695930211589,8,0.4693517517710477,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,23,6.330790998000339,4.90275897029923,1.6721429731757966,8,0.4713878542956083,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,31,4.665822330999617,5.501704825593912,1.889289297635721,8,0.4692192243877923,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,37,4.700790475000304,5.041644965729881,1.6324514210221284,8,0.4729885097037583,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,41,4.610449537000022,5.102407588730791,1.720452773528731,8,0.4807611546749464,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,43,4.348354184999607,4.850676722012736,1.492540290084993,8,0.4784548339793326,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,47,4.454635214000518,5.574661638993632,1.8308467405612068,9,0.4776235258480031,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
covertype,53,4.405778599000769,4.607626230009097,1.3484230762775018,8,0.4662950162819356,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,7,0.5160327650000909,4.361076006499368,1.1462670472136678,8,0.5610213629943502,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,13,0.5788333680002324,4.361076006499368,1.1462670472136678,8,0.5661855579096046,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,19,0.5375524909995875,4.435818739844738,1.1528698041595968,8,0.5720559675141242,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,23,0.5316732450000927,4.361076006499368,1.1462670472136678,8,0.5545550847457628,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,31,0.6027095419995021,4.361076006499368,1.1462670472136678,8,0.5678407485875706,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,37,0.4918450590002976,4.361076006499368,1.1462670472136678,8,0.5711290607344632,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,41,0.6047582539995346,4.361076006499368,1.1462670472136678,8,0.5698490466101694,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,43,0.5356572669998059,4.361076006499368,1.1462670472136678,8,0.567973163841808,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,47,0.5103641169998809,4.361076006499368,1.1462670472136678,8,0.5415342514124294,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
electricity,53,0.4970109410005534,4.361076006499368,1.1462670472136678,8,0.5675979872881356,retained original dataset-specific rank diagnostic; not re-run in round-2 audit
synthetic_gmm,7,0.7010986804962158,11.09811111111111,2.8183203801967047,15,0.5641111111111111,round-2 matched full-stream rank audit
synthetic_gmm,13,0.6224851608276367,11.946555555555555,3.644680952691687,18,0.572,round-2 matched full-stream rank audit
synthetic_gmm,19,0.6085386276245117,11.94022222222222,3.6475538158478447,18,0.5671111111111111,round-2 matched full-stream rank audit
synthetic_gmm,23,0.60125732421875,11.78811111111111,3.336147610125069,17,0.5668888888888889,round-2 matched full-stream rank audit
synthetic_gmm,31,0.6056313514709473,11.831888888888887,3.4914601830575904,18,0.5541111111111111,round-2 matched full-stream rank audit
synthetic_gmm,37,0.5924134254455566,11.340666666666667,2.965796052027553,16,0.5532222222222222,round-2 matched full-stream rank audit
synthetic_gmm,41,0.5957863330841064,11.993222222222222,3.645889413748578,18,0.5734444444444444,round-2 matched full-stream rank audit
synthetic_gmm,43,0.60247802734375,11.425444444444445,2.9632559649109367,16,0.5578888888888889,round-2 matched full-stream rank audit
synthetic_gmm,47,0.5917127132415771,11.428333333333333,2.990276371471001,16,0.5543333333333333,round-2 matched full-stream rank audit
synthetic_gmm,53,0.610119104385376,11.675666666666666,3.257883958781971,17,0.5592222222222222,round-2 matched full-stream rank audit
tweeteval_sentiment,7,21.8169379234314,8.0,0.0,8,0.5722966994440641,round-2 matched full-stream rank audit
tweeteval_sentiment,13,21.621675491333008,8.0,0.0,8,0.5712783185028131,round-2 matched full-stream rank audit
tweeteval_sentiment,19,21.50488257408142,8.0,0.0,8,0.5739661763969348,round-2 matched full-stream rank audit
tweeteval_sentiment,23,18.98007369041443,8.0,0.0,8,0.574984557338186,round-2 matched full-stream rank audit
tweeteval_sentiment,31,22.045013904571533,8.0,0.0,8,0.5739494816274061,round-2 matched full-stream rank audit
tweeteval_sentiment,37,22.15846991539001,8.0,0.0,8,0.5734319437720162,round-2 matched full-stream rank audit
tweeteval_sentiment,41,22.570778369903564,8.0,0.0,8,0.5730646588423847,round-2 matched full-stream rank audit
tweeteval_sentiment,43,21.06378030776977,8.0,0.0,8,0.5729477954556838,round-2 matched full-stream rank audit
tweeteval_sentiment,47,19.382354974746704,8.0,0.0,8,0.5739160920883487,round-2 matched full-stream rank audit
tweeteval_sentiment,53,20.37975597381592,8.0,0.0,8,0.5759695487403796,round-2 matched full-stream rank audit
