method,n_runs,median_run_level_combined_ms_per_1000,median_online_ms_per_1000,median_macro_ms_per_1000,sum_of_phase_medians_ms_per_1000,difference_sum_phase_medians_minus_median_total,common_preprocessing_median_ms_per_1000_excluded_from_total,max_absolute_per_run_recompute_error
Proposed,10,108.35574355532017,86.80099016656743,23.190595666518576,109.991585833086,1.635842277765832,16.231653555425712,1.4210854715202004e-14
Fixed Rank,10,110.63483427773866,89.85363205551442,26.486201777717927,116.33983383323235,5.704999555493686,16.231653555425712,1.4210854715202004e-14
