method,seed,ari,nmi,runtime_ms_per_1000,online_seconds,macro_seconds,persistent_numeric_mb
Proposed,7,0.9261553481794028,0.9103698413521706,116.87715744432758,0.804057687999375,0.2478367289995731,0.379913330078125
Proposed,13,0.9081334449950468,0.9085535619355405,111.23582922209607,0.7860132719997637,0.21510919099910097,0.38016510009765625
Proposed,19,0.777035979504263,0.7857966026875971,100.0685213336207,0.7916785910010731,0.10893810100151313,0.38016510009765625
Proposed,23,0.8039838063405655,0.8148553301314204,117.31449055565058,0.771043141001428,0.28478727399942727,0.38016510009765625
Proposed,31,0.8525668776392292,0.8418332894642071,97.5159688885267,0.7620038329987437,0.11563988699799665,0.379913330078125
Proposed,37,0.7335427279922391,0.7369441885417362,105.79578277752768,0.7498405139995157,0.20232153099823336,0.379913330078125
Proposed,41,0.8824045535916678,0.8805525962552732,104.93505422204584,0.7647120729998278,0.17970341499858478,0.38016510009765625
Proposed,43,0.9256842850609506,0.91825241497105,110.91570433311266,0.7809157689989661,0.21732556999904773,0.379913330078125
Proposed,47,0.850436974893933,0.8360729129502149,115.45358633338765,0.8187453959999402,0.2203368810005486,0.379913330078125
Proposed,53,0.8625972201613783,0.8565297276958224,101.00501599996883,0.7815020539992474,0.12754309000047215,0.38016510009765625
Fixed Rank,7,0.8811522963306457,0.8624191024591414,96.83600344447365,0.6653787250015739,0.20614530599868885,0.37890625
Fixed Rank,13,0.8293702410885709,0.8482327146559719,110.12816533325855,0.7270414759996129,0.264112011999714,0.37890625
Fixed Rank,19,0.7572098830447598,0.7625784436860275,111.14150322221879,0.7423331989984945,0.25794033000147465,0.37890625
Fixed Rank,23,0.7879537214264346,0.7920892755166574,110.06628055525248,0.7755047469991041,0.21509177799816825,0.37890625
Fixed Rank,31,0.8144782840759949,0.8100895730434761,124.32961500002824,0.8260158249995584,0.29295071000069584,0.37890625
Fixed Rank,37,0.7388755031518464,0.7344334570782575,122.7118615556214,0.8505487559978064,0.2538579980027862,0.37890625
Fixed Rank,41,0.8379558939567073,0.8389962368874819,109.83443511112354,0.8555641009988904,0.1329458150012215,0.37890625
Fixed Rank,43,0.9303989843500343,0.9134372127842478,122.02541355539628,0.8596527370000331,0.23857598499853339,0.37890625
Fixed Rank,47,0.8319586376070618,0.8111656166567833,109.80485266665913,0.7913495519997014,0.1968941220002307,0.37890625
Fixed Rank,53,0.7709995000955262,0.7671160746543901,124.95855900003032,0.8864513839998835,0.2381756470003893,0.37890625
TWStream,7,0.8549512354251056,0.8736948873402322,191.06353111116428,1.5841585330017551,0.13541324699872348,0.6882476806640625
TWStream,13,0.8449221284906391,0.8693372829231188,182.12673477784037,1.5258903899994039,0.11325022300115961,0.6882476806640625
TWStream,19,0.8210418257782415,0.8588582644241135,196.78732411112935,1.6507400950004012,0.12034582199976285,0.6882476806640625
TWStream,23,0.8188660326432314,0.8490954549491847,204.38236144420645,1.6619518569987122,0.17748939599914593,0.6882476806640625
TWStream,31,0.8470726689441123,0.8660653420711147,197.99738455559336,1.6466562080004223,0.135320252999918,0.6882476806640625
TWStream,37,0.8470726689441123,0.8660653420711147,216.30419977757103,1.7503471349982647,0.19639066299987462,0.6882476806640625
TWStream,41,0.8442043607969569,0.8660812789163058,301.22165155555393,2.4830015070001537,0.22799335699983203,0.6882476806640625
TWStream,43,0.819613641661703,0.8615246211363367,234.0621981111326,1.9694212469994454,0.137138536000748,0.6882476806640625
TWStream,47,0.8489512398914598,0.8682757326468972,181.16732166678656,1.4761630740003966,0.1543428210006823,0.6882476806640625
TWStream,53,0.8144786654428136,0.8357563300448492,186.71471333335728,1.4849428850002369,0.1954895349999788,0.6882476806640625
FRA-ART,7,0.753789405806219,0.8094958934579095,3337.278283444094,24.743746025998917,5.291758524997931,31.1180419921875
FRA-ART,13,0.7119857925451676,0.7650082604878399,2940.5202117793833,,0.2934814280088176,31.1180419921875
FRA-ART,19,0.85402883946747,0.8846468925058932,2940.082328445391,,0.2895404780028912,31.1180419921875
FRA-ART,23,0.609769069508618,0.6881444928818845,2940.7246905567363,,0.295321737004997,31.1180419921875
FRA-ART,31,0.699186532846857,0.7856585591188437,2942.272672889683,,0.30925357800151687,31.1180419921875
FRA-ART,37,0.8407196292234018,0.8762648214556918,2941.302862222882,,0.3005252820003079,31.1180419921875
FRA-ART,41,0.6747486929594991,0.7485620154067287,2943.296575445048,,0.3184687009998015,31.1180419921875
FRA-ART,43,0.7324072423661165,0.8025189631127725,2941.6630481120797,,0.30376695500308415,31.1180419921875
FRA-ART,47,0.6776701558137955,0.7744496661919296,2943.2553442226586,,0.3180976199982979,31.1180419921875
FRA-ART,53,0.6330767920120866,0.7415164831982267,2941.724465112606,,0.3043197080078244,31.1180419921875
