dataset,method,runs,online_chunk_ari_mean,online_chunk_ari_sd,online_chunk_nmi_mean,online_chunk_nmi_sd,final_ari_mean,final_ari_sd,final_nmi_mean,final_nmi_sd,rank_mean_across_run_means,rank_sd_across_run_means,observed_rank_min,observed_rank_max
synthetic_gmm,fixed_rank,10,0.722984045183159,0.05998704748635778,0.7367303008939136,0.05681059237077168,0.10058259569578935,0.04093207551498651,0.12238385689879902,0.046107863309527555,8.0,0.0,8,8
synthetic_gmm,proposed,10,0.7657046381354713,0.06850643157445528,0.77949357380836,0.060014225077355016,0.09526074436203442,0.03543814216800722,0.12132566869914055,0.04332933729288549,11.646822222222223,0.305963221652726,8,18
tweeteval,fixed_rank,10,-0.0005419276994656424,0.00042372967334452556,0.0016572196556435565,0.0005225944991594308,0.0021743908697673246,0.0069151462122176485,0.006133354954237511,0.004225002894783024,8.0,0.0,8,8
tweeteval,proposed,10,-0.0005419276994656424,0.00042372967334452556,0.0016572196556435565,0.0005225944991594308,0.0021743908697673246,0.0069151462122176485,0.006133354954237511,0.004225002894783024,8.0,0.0,8,8
