method,n,ari_mean,ari_sd,ari_ci95_low,ari_ci95_high,nmi_mean,nmi_sd,nmi_ci95_low,nmi_ci95_high,runtime_median_ms_per_1000,persistent_numeric_mb_mean
Proposed,10,0.8522541218358676,0.06418332620309214,0.8063401361883177,0.8981681074834175,0.8489760465985032,0.05878070606681596,0.8069268625757747,0.8910252306212317,108.35574355532017,0.3800392150878906
Fixed Rank,10,0.8180352945127582,0.05814201775627682,0.7764430005837366,0.8596275884417799,0.8140557707422434,0.05344295708107732,0.7758249823188009,0.852286559165686,110.63483427773866,0.37890625
TWStream,10,0.8361174468018376,0.01552013138360035,0.8250150136350071,0.8472198799686682,0.8614754536523268,0.01126599739245202,0.8534162446149888,0.8695346626896648,197.39235433336137,0.6882476806640625
FRA-ART,10,0.7187382152549231,0.08018044084503978,0.6613805831726516,0.7760958473371946,0.787626604781772,0.05982166856169324,0.7448327610494766,0.8304204485140675,2941.693756612343,31.1180419921875
