dataset,method,seed,online_chunk_mean_ari,online_chunk_mean_nmi,complete_window_final_ari,complete_window_final_nmi,rank_mean,rank_min,rank_max,chunks
tweeteval,proposed,7,-0.0008146652812316946,0.0011452423394323955,-0.006735266365357478,0.0023674146210406564,8.0,8,8,59
tweeteval,fixed_rank,7,-0.0008146652812316946,0.0011452423394323955,-0.006735266365357478,0.0023674146210406564,8.0,8,8,59
tweeteval,proposed,13,-0.0011120474773979516,0.002418749347326688,0.003744508222433669,0.011552463848094125,8.0,8,8,59
tweeteval,fixed_rank,13,-0.0011120474773979516,0.002418749347326688,0.003744508222433669,0.011552463848094125,8.0,8,8,59
tweeteval,proposed,19,-0.0003313224390504199,0.001177695851250706,0.005987145448829396,0.004998864168126165,8.0,8,8,59
tweeteval,fixed_rank,19,-0.0003313224390504199,0.001177695851250706,0.005987145448829396,0.004998864168126165,8.0,8,8,59
tweeteval,proposed,23,-6.997357318662523e-05,0.0025737637645296377,0.0036322540466740567,0.011125415929843313,8.0,8,8,59
tweeteval,fixed_rank,23,-6.997357318662523e-05,0.0025737637645296377,0.0036322540466740567,0.011125415929843313,8.0,8,8,59
tweeteval,proposed,31,-0.00011438970084720078,0.0017888043425143688,0.015443521119308145,0.012623432185472822,8.0,8,8,59
tweeteval,fixed_rank,31,-0.00011438970084720078,0.0017888043425143688,0.015443521119308145,0.012623432185472822,8.0,8,8,59
tweeteval,proposed,37,-0.001038245950600549,0.0014226997894556442,-0.007540141486062881,0.0030632197284412724,8.0,8,8,59
tweeteval,fixed_rank,37,-0.001038245950600549,0.0014226997894556442,-0.007540141486062881,0.0030632197284412724,8.0,8,8,59
tweeteval,proposed,41,-0.0010443812137297562,0.0020498820528852923,-0.00341479360483996,0.0012771504455956414,8.0,8,8,59
tweeteval,fixed_rank,41,-0.0010443812137297562,0.0020498820528852923,-0.00341479360483996,0.0012771504455956414,8.0,8,8,59
tweeteval,proposed,43,-7.259259749524776e-05,0.001312257815705823,0.005583194511058873,0.006209263291119285,8.0,8,8,59
tweeteval,fixed_rank,43,-7.259259749524776e-05,0.001312257815705823,0.005583194511058873,0.006209263291119285,8.0,8,8,59
tweeteval,proposed,47,-0.000491992318158219,0.0013651119343179648,-0.0005049141400520122,0.002167277677794358,8.0,8,8,59
tweeteval,fixed_rank,47,-0.000491992318158219,0.0013651119343179648,-0.0005049141400520122,0.002167277677794358,8.0,8,8,59
tweeteval,proposed,53,-0.0003296664429587608,0.001317989319017044,0.005548400945681437,0.005949047646847466,8.0,8,8,59
tweeteval,fixed_rank,53,-0.0003296664429587608,0.001317989319017044,0.005548400945681437,0.005949047646847466,8.0,8,8,59
synthetic_gmm,proposed,7,0.7698735535846936,0.7773319016937774,0.10784152404797662,0.13328768807896765,11.09811111111111,8,15,8
synthetic_gmm,fixed_rank,7,0.6474691690879208,0.6685650545885128,0.0990465631071857,0.11398155163839119,8.0,8,8,8
synthetic_gmm,proposed,13,0.7945364324900718,0.8147903431052107,0.07030806204804212,0.08083552548479798,11.946555555555555,8,18,8
synthetic_gmm,fixed_rank,13,0.7814090166503328,0.801410084084702,0.08283432619229493,0.10074348415777336,8.0,8,8,8
synthetic_gmm,proposed,19,0.6742730642109273,0.7249556311827792,0.12867967113721585,0.14994732994443044,11.940222222222221,8,18,8
synthetic_gmm,fixed_rank,19,0.7245928656934844,0.7475113278964571,0.13821367935350667,0.16080143612076364,8.0,8,8,8
synthetic_gmm,proposed,23,0.7941300498104245,0.7974702741033108,0.08043952368939865,0.11185671795124585,11.78811111111111,8,17,8
synthetic_gmm,fixed_rank,23,0.775812068425835,0.7776856380661592,0.11465266623127568,0.14256519396091447,8.0,8,8,8
synthetic_gmm,proposed,31,0.7867791367641972,0.794742213186499,0.06698941027908624,0.1080044831094829,11.831888888888889,8,18,8
synthetic_gmm,fixed_rank,31,0.7285039623016519,0.7400938441777468,0.0711537391923444,0.10059029245679997,8.0,8,8,8
synthetic_gmm,proposed,37,0.6212360552906807,0.6448455556606141,0.04924514151203862,0.06593440656372593,11.340666666666667,8,16,8
synthetic_gmm,fixed_rank,37,0.6477765693449882,0.6634210506484408,0.1126762295099132,0.1240920250505788,8.0,8,8,8
synthetic_gmm,proposed,41,0.8474835114393423,0.8530097627426766,0.076280323389799,0.08779623195699436,11.993222222222222,8,18,8
synthetic_gmm,fixed_rank,41,0.7590644435602081,0.7743966779801115,0.044797044073320295,0.06173204582686014,8.0,8,8,8
synthetic_gmm,proposed,43,0.8302299676559786,0.8427598193858703,0.10544802259582883,0.1536656289104387,11.425444444444445,8,16,8
synthetic_gmm,fixed_rank,43,0.7958526191279978,0.8095129765236413,0.0876262831980842,0.13123855308071888,8.0,8,8,8
synthetic_gmm,proposed,47,0.7731260287991022,0.7726288741804493,0.09592996460058009,0.10782635241344536,11.428333333333333,8,16,8
synthetic_gmm,fixed_rank,47,0.7358852038583477,0.7268724019323285,0.06652113040796441,0.06809369775128928,8.0,8,8,8
synthetic_gmm,proposed,53,0.7653785813092949,0.7724013628424135,0.1714458003203782,0.21410232257787631,11.675666666666666,8,17,8
synthetic_gmm,fixed_rank,53,0.6334745337808225,0.6578339530410353,0.18830429569200405,0.22000028894390053,8.0,8,8,8
