variant,ari_mean,ari_sd,ari_ci95_low,ari_ci95_high,nmi_mean,nmi_sd,nmi_ci95_low,nmi_ci95_high,runtime_median,persistent_numeric_mb_mean,rank_mean,rank_changes_mean
proposed,0.8522541218358676,0.0641833262030921,0.8063401361883177,0.8981681074834175,0.8489760465985032,0.0587807060668159,0.8069268625757747,0.8910252306212317,108.35574355532016,0.3800392150878906,11.646822222222225,5.9
fixed_rank,0.8180352945127582,0.0581420177562768,0.7764430005837366,0.8596275884417799,0.8140557707422434,0.0534429570810773,0.7758249823188009,0.852286559165686,110.63483427773866,0.37890625,8.0,0.0
uniform_sampling,0.8554854295568475,0.0604337297853259,0.8122537436013495,0.8987171155123455,0.8512342238702125,0.0548379543436096,0.8120055145212073,0.8904629332192178,130.95864072197907,0.3800643920898437,11.646011111111113,6.7
keep_all,0.854603154840623,0.0656391204715148,0.8076477567094844,0.9015585529717616,0.8516205079021697,0.0590883102087992,0.8093512771321683,0.8938897386721711,130.5689517220748,0.3800392150878906,11.274944444444444,8.0
dense_projection,0.7905457036393608,0.1143582628301772,0.7087387305689852,0.8723526767097365,0.7906523884063164,0.1047170568718804,0.7157423186000939,0.8655624582125389,129.08729561119495,0.3800392150878906,11.7341,6.8
leverage_weighting,0.836362250349603,0.0506331596182147,0.8001414699455981,0.8725830307536079,0.8355933183729369,0.0473865263435806,0.8016950395030957,0.8694915972427781,127.26342300018383,0.3800392150878906,11.226055555555556,7.5
