time,rank,reconstruction_error,threshold,rank_changed
1,8,0.0,0.0,0
26,8,0.0,0.0,0
51,8,0.0,0.0,0
76,8,0.0,0.0,0
101,8,0.0,0.0,0
126,8,0.0,0.0,0
151,8,0.0,0.0,0
176,8,0.0,0.0,0
201,8,0.0,0.0,0
226,8,0.853654914740809,0.853654914740809,0
251,8,0.853654914740809,0.853654914740809,0
276,8,0.853654914740809,0.853654914740809,0
301,8,0.853654914740809,0.853654914740809,0
326,8,0.853654914740809,0.853654914740809,0
351,8,0.853654914740809,0.853654914740809,0
376,8,0.853654914740809,0.853654914740809,0
401,8,0.853654914740809,0.853654914740809,0
426,8,0.853654914740809,0.853654914740809,0
451,8,0.853654914740809,0.853654914740809,0
476,8,0.853654914740809,0.853654914740809,0
501,8,0.853654914740809,0.853654914740809,0
526,8,0.853654914740809,0.853654914740809,0
551,8,0.853654914740809,0.853654914740809,0
576,8,0.853654914740809,0.853654914740809,0
601,8,0.853654914740809,0.853654914740809,0
626,8,0.853654914740809,0.853654914740809,0
651,8,0.853654914740809,0.853654914740809,0
676,8,0.853654914740809,0.853654914740809,0
701,8,0.853654914740809,0.853654914740809,0
726,8,0.853654914740809,0.853654914740809,0
751,8,0.853654914740809,0.853654914740809,0
776,8,0.853654914740809,0.853654914740809,0
801,8,0.853654914740809,0.853654914740809,0
826,8,0.2522256820602325,0.7935119914727513,0
851,8,0.2522256820602325,0.7935119914727513,0
876,8,0.2522256820602325,0.7935119914727513,0
901,8,0.2522256820602325,0.7935119914727513,0
926,8,0.2522256820602325,0.7935119914727513,0
951,8,0.2522256820602325,0.7935119914727513,0
976,8,0.2522256820602325,0.7935119914727513,0
1001,8,0.2522256820602325,0.7935119914727513,0
1026,8,0.2522256820602325,0.7935119914727513,0
1051,8,0.2522256820602325,0.7935119914727513,0
1076,8,0.2522256820602325,0.7935119914727513,0
1101,8,0.2522256820602325,0.7935119914727513,0
1126,8,0.2522256820602325,0.7935119914727513,0
1151,8,0.2522256820602325,0.7935119914727513,0
1176,8,0.23589108648305335,0.7377499009737816,0
1201,8,0.23589108648305335,0.7377499009737816,0
1226,8,0.23589108648305335,0.7377499009737816,0
1251,8,0.23589108648305335,0.7377499009737816,0
1276,8,0.23589108648305335,0.7377499009737816,0
1301,8,0.23589108648305335,0.7377499009737816,0
1326,8,0.23589108648305335,0.7377499009737816,0
1351,8,0.23447102205754095,0.6874220130821576,0
1376,8,0.23447102205754095,0.6874220130821576,0
1401,8,0.23447102205754095,0.6874220130821576,0
1426,8,0.23447102205754095,0.6874220130821576,0
1451,8,0.23447102205754095,0.6874220130821576,0
1476,8,0.23447102205754095,0.6874220130821576,0
1501,8,0.2341752754107927,0.6420973393150211,0
1526,8,0.2341752754107927,0.6420973393150211,0
1551,8,0.2341752754107927,0.6420973393150211,0
1576,8,0.2341752754107927,0.6420973393150211,0
1601,8,0.2341752754107927,0.6420973393150211,0
1626,8,0.2341752754107927,0.6420973393150211,0
1651,8,0.23410795085707803,0.6012984004692268,0
1676,8,0.23410795085707803,0.6012984004692268,0
1701,8,0.23410795085707803,0.6012984004692268,0
1726,8,0.23410795085707803,0.6012984004692268,0
1751,8,0.23410795085707803,0.6012984004692268,0
1776,8,0.2348415258393434,0.5646527130062384,0
1801,8,0.2348415258393434,0.5646527130062384,0
1826,8,0.2348415258393434,0.5646527130062384,0
1851,8,0.2348415258393434,0.5646527130062384,0
1876,8,0.2348415258393434,0.5646527130062384,0
1901,8,0.2348415258393434,0.5646527130062384,0
1926,8,0.2348415258393434,0.5646527130062384,0
1951,8,0.23504870066279956,0.5316923117718946,0
1976,8,0.23504870066279956,0.5316923117718946,0
2001,8,0.23504870066279956,0.5316923117718946,0
2026,8,0.23504870066279956,0.5316923117718946,0
2051,8,0.23504870066279956,0.5316923117718946,0
2076,8,0.23504870066279956,0.5316923117718946,0
2101,8,0.23504870066279956,0.5316923117718946,0
2126,8,0.23519059403141707,0.5020421399978469,0
2151,8,0.23519059403141707,0.5020421399978469,0
2176,8,0.23519059403141707,0.5020421399978469,0
2201,8,0.23519059403141707,0.5020421399978469,0
2226,8,0.23519059403141707,0.5020421399978469,0
2251,8,0.23519059403141707,0.5020421399978469,0
2276,8,0.23433246715202052,0.4752711727132642,0
2301,8,0.23433246715202052,0.4752711727132642,0
2326,8,0.23433246715202052,0.4752711727132642,0
2351,8,0.23433246715202052,0.4752711727132642,0
2376,8,0.23433246715202052,0.4752711727132642,0
2401,8,0.23433246715202052,0.4752711727132642,0
2426,8,0.2333295400995543,0.4510770094518932,0
2451,8,0.2333295400995543,0.4510770094518932,0
2476,8,0.2333295400995543,0.4510770094518932,0
2501,8,0.2333295400995543,0.4510770094518932,0
2526,8,0.2333295400995543,0.4510770094518932,0
2551,8,0.2333295400995543,0.4510770094518932,0
2576,8,0.2333295400995543,0.4510770094518932,0
2601,8,0.22260211681726177,0.4282295201884301,0
2626,8,0.22260211681726177,0.4282295201884301,0
2651,8,0.22260211681726177,0.4282295201884301,0
2676,8,0.22260211681726177,0.4282295201884301,0
2701,8,0.22260211681726177,0.4282295201884301,0
2726,8,0.22260211681726177,0.4282295201884301,0
2751,8,0.22224268683053253,0.40763083685264034,0
2776,8,0.22224268683053253,0.40763083685264034,0
2801,8,0.22224268683053253,0.40763083685264034,0
2826,8,0.22224268683053253,0.40763083685264034,0
2851,8,0.22224268683053253,0.40763083685264034,0
2876,8,0.22224268683053253,0.40763083685264034,0
2901,8,0.22232658587915224,0.38910041175529153,0
2926,8,0.22232658587915224,0.38910041175529153,0
2951,8,0.22232658587915224,0.38910041175529153,0
2976,8,0.22232658587915224,0.38910041175529153,0
3000,8,0.22232658587915224,0.38910041175529153,0
3001,8,0.22232658587915224,0.38910041175529153,0
3026,8,0.22232658587915224,0.38910041175529153,0
3051,8,0.28607787894619285,0.37879815847438164,0
3076,8,0.28607787894619285,0.37879815847438164,0
